,shopping Mall,longitude,latitude
0,100 AM,103.843488359469,1.27468281482265
1,313@Somerset,103.837684350436,1.30138510214716
2,Aperia,103.864326436447,1.30971120650773
3,Balestier Hill Shopping Centre,103.843741438467,1.32616307866263
4,Bugis Cube,103.855635374053,1.29813983280826
5,Bugis Junction,103.856191571652,1.30011789343095
6,Bugis+,103.855204142122,1.30075921013125
7,Capitol Piazza,103.851261982149,1.29307884763135
8,Cathay Cineleisure Orchard,103.836429655016,1.30152101873537
9,Clarke Quay Central,0,0
10,The Centrepoint,103.839758893141,1.30197804494229
11,City Square Mall,103.856624587055,1.3114211435758
12,City Gate Mall,0,0
13,CityLink Mall,103.854173501689,1.29277773074185
14,Duo,103.857996795149,1.29921662121834
15,Far East Plaza,103.833792932243,1.30717698071191
16,Great World City,103.832015762404,1.29344052187939
17,HDB Hub,103.847086433041,1.33216810552098
18,Holland Village Shopping Mall,0,0
19,ION Orchard,103.832032083962,1.30398054758859
20,Junction 8,103.848760808564,1.35048197856674
21,Knightsbridge[1],0,0
22,Liang Court,103.844668934841,1.2914901989264
23,Liat Towers,103.830727915062,1.3051075903842
24,Lucky Plaza,103.833961913093,1.30450609984441
25,Marina Bay Sands,103.859450636919,1.28399410139208
26,The Shoppes at Marina Bay Sands,103.858982235919,1.28423491291495
27,Marina Bay Financial Centre Tower 3,103.854457000196,1.27912488289484
28,Marina Bay Link Mall,103.853349293865,1.28022767675601
29,Marina One,103.853401872618,1.27704168977883
30,Marina Square,103.85857808906,1.29185533273026
31,Millenia Walk,103.859724944443,1.29260544462495
32,Mustafa Shopping Centre,0,0
33,Ngee Ann City,103.835181912297,1.30224168528688
34,Orchard Central,103.839434733899,1.30083890811873
35,Orchard Gateway,103.839442780042,1.30044325279547
36,Orchard Plaza,103.841150144584,1.30125729409969
37,Orchard Midpoint,103.838659721146,1.30178753401546
38,Orchard Shopping Centre,103.837888099803,1.30150037977931
39,Palais Renaissance,103.829588045188,1.30665484543194
40,Paragon Shopping Centre,103.835240308455,1.30372321739271
41,People's Park Centre,103.843980122838,1.28577009981807
42,People's Park Complex,103.842519563895,1.28413390964831
43,Plaza Singapura,103.845047621297,1.30074755251622
44,PoMo,103.84926428076,1.30010844954006
45,Raffles City,103.853333627297,1.29397670992875
46,Scotts Square,103.83308338186,1.30576292435885
47,Serangoon Plaza,103.855146819671,1.31078075190146
48,Shaw House and Centre,0,0
49,Sim Lim Square,103.853037816787,1.30302427590084
50,Singapore Shopping Centre,103.844111318107,1.29815265394506
51,The South Beach,103.856276242094,1.29498804392058
52,Square 2,103.844160737673,1.32070490289998
53,Suntec City,103.858585026016,1.29546675589677
54,Tanglin Mall,103.823852794772,1.30484344196916
55,Tangs,103.832971130126,1.30495005564845
56,Tanjong Pagar Centre,103.845936303594,1.27658360696845
57,Tekka Centre,103.850609985486,1.3061777304808
58,The PoizÊ[2],0,0
59,Thomson Plaza,103.830919782333,1.35466902496426
60,"United Square, The Kids Learning Mall",0,0
61,Velocity,103.844033569199,1.31978949204527
62,Wheelock Place,103.830642027577,1.30467628730254
63,Wisma Atria,103.833205752808,1.30370477426152
64,Zhongshan Mall,103.846554377679,1.32694504456952
65,White Sands,103.949715694737,1.37244981663529
66,Downtown East,103.95477359289,1.37777584209543
67,Century Square,103.943812302253,1.35236829566865
68,Tampines 1,103.945141172369,1.35432321225806
69,Tampines Mall,103.944698751072,1.35252737278521
70,Our Tampines Hub,103.940408213911,1.35313357419619
71,Changi Airport,103.989276642386,1.35634142135845
72,Changi City Point,103.962917615531,1.33403637902709
73,Djitsun Mall Bedok,103.929554495615,1.32611970329471
74,Eastpoint Mall,103.953024496946,1.34270619619912
75,Bedok Mall,103.929267654353,1.32477207441098
76,Bedok Point,103.932360131921,1.32496142991059
77,Paya Lebar Square,103.892580778514,1.31881487007652
78,Singapore Post Centre,103.894894915962,1.31899666903665
79,One KM,103.894738004496,1.31461849889244
80,112 Katong,103.905044759343,1.30520649898452
81,Parkway Parade,103.905279491524,1.30106975506311
82,City Plaza,103.893472115119,1.31478689719772
83,Katong Square,103.904617722414,1.30477683917238
84,Katong V,103.902850370889,1.30385030375719
85,Kallang Wave Mall,103.873149707591,1.30307515150402
86,Leisure Park Kallang,103.876473975883,1.30230108405231
87,East Village,103.94623670148,1.33177894872701
88,Elias Mall,103.941978174681,1.37860239744305
89,Loyang Point,103.964598499523,1.3664536401035
90,The Flow,103.904203116447,1.30457354662019
91,888 Plaza,103.795314383823,1.43712301500436
92,Admiralty Place,103.801791019595,1.43988095490573
93,AMK Hub,103.848410737143,1.36918417625914
94,Causeway Point,103.78598151419,1.43607005878427
95,Broadway Plaza,103.845949468704,1.37193728803291
96,Djitsun Mall,103.929554495615,1.32611970329471
97,Jubilee Square,103.847837565378,1.37178558575834
98,Junction 9,103.84166098599,1.43312283983182
99,Marsiling Mall,103.77988189197,1.43354318137537
100,Northpoint City,103.836177650973,1.42790289018681
101,Sembawang Shopping Centre,103.824845207237,1.44182470675734
102,Sun Plaza,103.819502127155,1.44819535371133
103,Wisteria Mall,103.841268831617,1.41795288501537
104,Woodlands Mart,103.798140993891,1.44562290720223
105,Waterway Point,103.902105680785,1.40648462132008
106,Compass One,103.895070061064,1.39205277861036
107,Hougang Mall,103.893775562605,1.37249493810007
108,Heartland Mall,103.885167372726,1.35954177325564
109,NEX,103.872296143862,1.35076935230473
110,Greenwich V,103.869135978173,1.38739539397018
111,Hougang 1,103.879472337592,1.37571530699879
112,Hougang Green Shopping Mall,103.887832017102,1.37924529070163
113,myVillage @ Serangoon,0,0
114,Oasis Terraces,103.913215101343,1.40278015725695
115,Punggol Plaza,103.913047322951,1.39423719689747
116,Rivervale Mall,103.904471600025,1.39219777838453
117,Rivervale Plaza,103.901841044122,1.38533736107776
118,The Seletar Mall,103.876125507257,1.39147015374629
119,The Midtown,103.895291518188,1.3705044552368
120,Upper Serangoon Shopping Centre,103.878828409322,1.35348088326126
121,Beauty World Centre,103.776539385406,1.34241264188644
122,Beauty World Plaza,103.776259359854,1.34180018619224
123,Bukit Panjang Plaza,103.764357180314,1.37992045176245
124,Bukit Timah Plaza,103.778600077834,1.33875930729067
125,Fajar Shopping Centre,103.771029603101,1.38400582466296
126,Greenridge Shopping Centre,103.766228468185,1.38540569283273
127,Hillion Mall,103.762842789877,1.37843100827588
128,HillV2,103.76417292006,1.36267450828026
129,Junction 10,103.760167883439,1.38033681049386
130,Limbang Shopping Centre,103.743190998187,1.39224240572063
131,Lot One,103.745011766388,1.38497459672382
132,Rail Mall,103.767507062382,1.36042284310341
133,Sunshine Place,103.739015486021,1.37789727654677
134,Teck Whye Shopping Centre,103.752483841199,1.380047529754
135,West Mall,103.749244800949,1.3500192089773
136,Yew Tee Point,103.746598000147,1.39708432396579
137,Yew Tee Shopping Centre,0,0
138,Yew Tee Square,103.747084778932,1.39804736153017
139,Keat Hong Shopping Centre,103.744393648768,1.37736607441399
140,KKH The Retail Mall,0,0
141,VivoCity,103.822308649915,1.26430476455787
142,HarbourFront Centre,103.820243325181,1.26396991176006
143,Alexandra Retail Centre,103.801399416665,1.27414893629258
144,321 Clementi,103.764986676365,1.31200212030824
145,The Clementi Mall,103.764423054189,1.31489619639367
146,IMM,103.793724128024,1.30210127109325
147,JCube,103.740187071348,1.33332312550425
148,Jem,103.743503708117,1.33306142842321
149,Westgate Mall,0,0
150,Jurong Point,103.70668501289,1.33945271661449
151,Pioneer Mall,103.697174842118,1.34169239214294
152,The Star Vista,103.788420274115,1.30697044038325
153,Tiong Bahru Plaza,103.827015256194,1.28645889472827
154,Alexandra Central,103.805414652014,1.28745612377701
155,Anchorpoint,103.805607779399,1.28893477974499
156,Big Box,103.744920410466,1.33191842910524
157,OD Mall,0,0
158,Boon Lay Shopping Centre,103.712429315389,1.34634819695609
159,Grantral Mall,103.765147487482,1.31427043922296
160,Fairprice Hub,103.678410551835,1.32561764129671
161,Gek Poh Shopping Centre,103.698298418177,1.34874423181247
162,Rochester Mall,103.788523947609,1.30531792689583
163,Taman Jurong Shopping Centre,103.720462024006,1.3348448747126
164,West Coast Plaza,103.766131307459,1.30369753953073
165,Queensway Shopping Centre,103.803391140455,1.28761792558745
